Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
Forsmark-1,Nuclear,Steam Turbine,PP,SE,986,,1980,,2062,60.40399300000001,18.174347,,0.0,0.0,0.0,"{'46WPU0000000016U', '46WPU0000000017S', '46WPU0000000015W'}","{'ENTSOE': {'46WPU0000000015W', '46WPU0000000016U', '46WPU0000000017S'}, 'OPSD': {'OEU-4813', 'OEU-4812', 'OEU-4814'}, 'WIKIPEDIA': {'WIKIPEDIA-139', 'WIKIPEDIA-140', 'WIKIPEDIA-141'}, 'GEO': {'GEO-3200'}, 'GPD': {'WRI1002098'}}",6591
Forsmark-2,Nuclear,Steam Turbine,PP,SE,1116,,1981,,2062,60.40399300000001,18.174347,,0.0,0.0,0.0,"{'46WPU0000000016U', '46WPU0000000017S', '46WPU0000000015W'}","{'ENTSOE': {'46WPU0000000015W', '46WPU0000000016U', '46WPU0000000017S'}, 'OPSD': {'OEU-4813', 'OEU-4812', 'OEU-4814'}, 'WIKIPEDIA': {'WIKIPEDIA-139', 'WIKIPEDIA-140', 'WIKIPEDIA-141'}, 'GEO': {'GEO-3200'}, 'GPD': {'WRI1002098'}}",6591
Forsmark-3,Nuclear,Steam Turbine,PP,SE,1167,,1985,,2062,60.40399300000001,18.174347,,0.0,0.0,0.0,"{'46WPU0000000016U', '46WPU0000000017S', '46WPU0000000015W'}","{'ENTSOE': {'46WPU0000000015W', '46WPU0000000016U', '46WPU0000000017S'}, 'OPSD': {'OEU-4813', 'OEU-4812', 'OEU-4814'}, 'WIKIPEDIA': {'WIKIPEDIA-139', 'WIKIPEDIA-140', 'WIKIPEDIA-141'}, 'GEO': {'GEO-3200'}, 'GPD': {'WRI1002098'}}",6591
Ringhals-1,Nuclear,Steam Turbine,PP,SE,881,,1969,,2020,57.258987,12.110433,,0,0,0,"{'46WPU00000000121', '46WPU0000000014Y', '46WPU00000000113', '46WPU00000000105'}","{'ENTSOE': {'46WPU00000000121', '46WPU0000000014Y', '46WPU00000000113', '46WPU00000000105'}, 'OPSD': {'OEU-4840', 'OEU-4839', 'OEU-4841', 'OEU-4842'}, 'WIKIPEDIA': {'WIKIPEDIA-148', 'WIKIPEDIA-147', 'WIKIPEDIA-145'}, 'GEO': {'GEO-5093'}, 'GPD': {'WRI1002097'}}"
Ringhals-2,Nuclear,Steam Turbine,PP,SE,904,,1970,,2019,57.258987,12.110433,,0,0,0,"{'46WPU00000000121', '46WPU0000000014Y', '46WPU00000000113', '46WPU00000000105'}","{'ENTSOE': {'46WPU00000000121', '46WPU0000000014Y', '46WPU00000000113', '46WPU00000000105'}, 'OPSD': {'OEU-4840', 'OEU-4839', 'OEU-4841', 'OEU-4842'}, 'WIKIPEDIA': {'WIKIPEDIA-148', 'WIKIPEDIA-147', 'WIKIPEDIA-145'}, 'GEO': {'GEO-5093'}, 'GPD': {'WRI1002097'}}"
Ringhals-3,Nuclear,Steam Turbine,PP,SE,1062,,1972,,2062,57.258987,12.110433,,0,0,0,"{'46WPU00000000121', '46WPU0000000014Y', '46WPU00000000113', '46WPU00000000105'}","{'ENTSOE': {'46WPU00000000121', '46WPU0000000014Y', '46WPU00000000113', '46WPU00000000105'}, 'OPSD': {'OEU-4840', 'OEU-4839', 'OEU-4841', 'OEU-4842'}, 'WIKIPEDIA': {'WIKIPEDIA-148', 'WIKIPEDIA-147', 'WIKIPEDIA-145'}, 'GEO': {'GEO-5093'}, 'GPD': {'WRI1002097'}}"
Ringhals-4,Nuclear,Steam Turbine,PP,SE,1104,,1973,,2062,57.258987,12.110433,,0,0,0,"{'46WPU00000000121', '46WPU0000000014Y', '46WPU00000000113', '46WPU00000000105'}","{'ENTSOE': {'46WPU00000000121', '46WPU0000000014Y', '46WPU00000000113', '46WPU00000000105'}, 'OPSD': {'OEU-4840', 'OEU-4839', 'OEU-4841', 'OEU-4842'}, 'WIKIPEDIA': {'WIKIPEDIA-148', 'WIKIPEDIA-147', 'WIKIPEDIA-145'}, 'GEO': {'GEO-5093'}, 'GPD': {'WRI1002097'}}"
Oskarshamn-1,Nuclear,Steam Turbine,PP,SE,473,,1972,,2017,57.417124,16.673074,,0,0,0,{'46WPU0000000061P'},"{'ENTSOE': {'46WPU0000000061P'}, 'OPSD': {'OEU-4833', 'OEU-4835', 'OEU-4834'}, 'WIKIPEDIA': {'WIKIPEDIA-144'}, 'GEO': {'GEO-4646'}, 'GPD': {'WRI1002168'}}"
Oskarshamn-2,Nuclear,Steam Turbine,PP,SE,638,,1975,,2016,57.417124,16.673074,,0,0,0,{'46WPU0000000061P'},"{'ENTSOE': {'46WPU0000000061P'}, 'OPSD': {'OEU-4833', 'OEU-4835', 'OEU-4834'}, 'WIKIPEDIA': {'WIKIPEDIA-144'}, 'GEO': {'GEO-4646'}, 'GPD': {'WRI1002168'}}"
Oskarshamn-3,Nuclear,Steam Turbine,PP,SE,1450,,1985,,2062,57.417124,16.673074,,0,0,0,{'46WPU0000000061P'},"{'ENTSOE': {'46WPU0000000061P'}, 'OPSD': {'OEU-4833', 'OEU-4835', 'OEU-4834'}, 'WIKIPEDIA': {'WIKIPEDIA-144'}, 'GEO': {'GEO-4646'}, 'GPD': {'WRI1002168'}}"
Olkiluoto-1,Nuclear,Steam Turbine,PP,FI,890,,1979,,2062,61.23729300000001,21.43869,,0,0,0,"{'44W-T-YV-0000042', '44W-T-YV-0000026', '44W-T-YV-0000034'}","{'ENTSOE': {'44W-T-YV-0000026', '44W-T-YV-0000042', '44W-T-YV-0000034'}, 'OPSD': {'OEU-1561', 'OEU-1562'}, 'WIKIPEDIA': {'WIKIPEDIA-53', 'WIKIPEDIA-54', 'WIKIPEDIA-52'}, 'GEO': {'GEO-4610'}, 'GPD': {'WRI1002473'}}"
Olkiluoto-2,Nuclear,Steam Turbine,PP,FI,890,,1979,,2062,61.23729300000001,21.43869,,0,0,0,"{'44W-T-YV-0000042', '44W-T-YV-0000026', '44W-T-YV-0000034'}","{'ENTSOE': {'44W-T-YV-0000026', '44W-T-YV-0000042', '44W-T-YV-0000034'}, 'OPSD': {'OEU-1561', 'OEU-1562'}, 'WIKIPEDIA': {'WIKIPEDIA-53', 'WIKIPEDIA-54', 'WIKIPEDIA-52'}, 'GEO': {'GEO-4610'}, 'GPD': {'WRI1002473'}}"
Olkiluoto-3,Nuclear,Steam Turbine,PP,FI,1600,,2023,,2062,61.23729300000001,21.43869,,0,0,0,"{'44W-T-YV-0000042', '44W-T-YV-0000026', '44W-T-YV-0000034'}","{'ENTSOE': {'44W-T-YV-0000026', '44W-T-YV-0000042', '44W-T-YV-0000034'}, 'OPSD': {'OEU-1561', 'OEU-1562'}, 'WIKIPEDIA': {'WIKIPEDIA-53', 'WIKIPEDIA-54', 'WIKIPEDIA-52'}, 'GEO': {'GEO-4610'}, 'GPD': {'WRI1002473'}}"
Loviisa-1,Nuclear,Steam Turbine,PP,FI,507,,1977,,2062,60.371235,26.347092,,0.0,0.0,0.0,"{'44W-T-YV-0000018', '44W-T-YV-000000A'}","{'ENTSOE': {'44W-T-YV-0000018', '44W-T-YV-000000A'}, 'OPSD': {'OEU-1532', 'OEU-1531'}, 'WIKIPEDIA': {'WIKIPEDIA-50', 'WIKIPEDIA-51'}, 'GEO': {'GEO-4091'}, 'GPD': {'WRI1002445'}}",6570
Loviisa-2,Nuclear,Steam Turbine,PP,FI,507,,1980,,2062,60.371235,26.347092,,0.0,0.0,0.0,"{'44W-T-YV-0000018', '44W-T-YV-000000A'}","{'ENTSOE': {'44W-T-YV-0000018', '44W-T-YV-000000A'}, 'OPSD': {'OEU-1532', 'OEU-1531'}, 'WIKIPEDIA': {'WIKIPEDIA-50', 'WIKIPEDIA-51'}, 'GEO': {'GEO-4091'}, 'GPD': {'WRI1002445'}}",6570
